#Taxon	ERR17070056	ERR17070057	ERR17070058	ERR17070059	ERR17070060	ERR17070061	ERR17070062	ERR17070063	ERR17070064	ERR17070065	ERR17070066	ERR17070067	ERR17070068	ERR17070069	ERR17070070	ERR17070071	ERR17070072	ERR17070073	ERR17070074	ERR17070075	ERR17070076	ERR17070077	ERR17070078	ERR17070079	ERR17070080	ERR17070081	ERR17070082	ERR17070083	ERR17070084
u__unclassified	1503	1683	1107	1440	1702	1634	1403	1637	1042	1719	1621	1677	1898	2216	1736	2158	2100	2370	1771	1934	2136	1890	1779	2162	243	1296	195	334	1250
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus	170195	252818	172036	163889	254344	241408	205856	226955	133054	268625	245661	227297	2379	1610	15108	11885	3139	5747	55834	15829	58570	76659	191182	86619	295	217300	1703	29	133
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Pediococcus	1318	1964	1444	1249	1905	1855	1754	1803	1512	2256	1908	1864	12	19	86	28	89	309	869	982	6373	7164	10190	997	4	1930	37	1	2
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Leuconostoc	1500	43	22	34	36	36	1060	248	55	32	33	77	3810	17551	294	26828	7218	48576	39554	82662	1641	83534	27	6570	8	617	275	2	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Weissella	46	52	32	41	42	59	582	63	52	57	74	306	12152	13074	116673	2310	78197	858	52195	2037	184	33983	5654	59088	1	583	20	0	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Oenococcus	23	23	12	21	25	15	33	17	14	19	24	21	248	50	20	1853	195	118	139	115	7	196	6	234	0	26	1	0	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus	804	1183	873	718	986	1026	1081	896	684	1249	1243	992	9352	5051	7516	12329	15606	10209	7727	9439	8315	3801	5271	7931	217	983	629	265	15
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus	15	16	18	33	59	26	57	415	11	40	24	25	118740	4542	758	470	110483	117291	93449	158141	118475	4736	358	107180	351	240	285	142	1
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus	264	253	154	212	253	249	255	380	132	284	249	880	11122	12356	12866	25770	9348	21044	4624	1788	5764	5783	10017	6419	9	556	116	22	16
k__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus	20277	6077	2062	8692	13810	6920	2112	2151	1572	3176	4587	20078	40055	154032	121786	15819	20971	5071	1176	1372	1804	6708	1014	5624	623	864	577	155	5
k__Bacteria,p__Firmicutes,c__Bacilli,o__Exiguobacterales,f__Exiguobacteraceae,g__Exiguobacterium	5319	62	114	2947	20	6	102	1190	56	161	22	1008	39209	90473	12498	19	3618	2232	731	840	118	1583	36	1810	12	128	4	906	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus	1500	324	171	550	638	1040	287	180	196	385	763	1279	6136	12799	7521	2207	4448	4420	1645	794	3131	2298	5141	1482	5332	472	2982	77	8
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Lysinibacillus	92	17	12	21	50	28	23	13	21	26	22	66	273	619	449	88	165	81	43	30	35	54	30	36	95	22	157	2	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Domibacillus	7	0	0	5	0	1	1	7	0	2	2	2	136	265	183	87	181	176	104	36	126	88	133	62	43	8	164	1	1
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__uncultured	1	0	0	2	1	0	0	0	0	0	0	3	57	98	96	75	104	131	52	12	63	56	78	40	1	1	93	1	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus	127	10	11	105	28	26	43	84	26	11	17	169	193	337	176	266	632	1211	148	98	259	783	344	110	6121	399	3507	3	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Ammoniphilus	2	0	0	0	0	0	0	0	0	0	0	0	15	36	2	1	10	6	2	9	10	1	0	8	166	0	222	1	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Aneurinibacillales,f__Aneurinibacillaceae,g__Aneurinibacillus	50	9	5	5	13	13	4	5	2	17	14	35	107	444	373	37	42	17	3	2	2	5	1	16	176	3	0	0	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Turicibacter	8	0	0	5	4	2	1	1	2	2	2	4	40	67	59	9	45	19	14	21	5	7	2	12	479	7	119	0	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Planifilum	1	0	0	0	0	2	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	129	0	0
k__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae,g__Pasteuria	1	0	0	0	1	0	0	0	0	0	0	1	1	7	5	1	2	1	2	2	1	0	1	1	183	0	0	0	0
